Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
2429,21-09-2015,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Rainmatter,Seed Funding,235000.0
2431,21-09-2015,LafaLafa,coupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,125000.0
2434,22-09-2015,Bestdealfinance,Financial Services Portal,,Mumbai,Kalaari Capital YourNest Angel Fund,Private Equity,3000000.0
2437,22-09-2015,Virtual Logic,virtual reality 3d simulation and stereoscopic products,,Bangalore,Swarnim Multiventures,Private Equity,800000.0
2438,22-09-2015,Furdo,Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Seed Funding,400000.0
2439,22-09-2015,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,10000000.0
2440,22-09-2015,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000.0
2443,23-09-2015,SilverPush,Cross-device retargeting platform,,Gurgaon/SFO,M&S Partners,Private Equity,1200000.0
2444,23-09-2015,Juggernaut,Digital & Physical Publishing platform,,New Delhi,William Bissell Neeraj Aggarwal Nandan Nilekani,Private Equity,2250000.0
2445,23-09-2015,InnerChef,Food Delivery Platform,,New Delhi,Phanindra Sama Anupam Mittal Vijay Shekhar Sharma Vishal Gondal Sateesh Andara & others,Private Equity,1750000.0
2446,24-09-2015,Quintype,Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,3300000.0
2447,24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,500 Startups Smile Multimedia Kunal Bahl Rohit Bansal Girish Matrubootham,Seed Funding,400000.0
2448,24-09-2015,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,Infuse Ventures The Chennai Angels,Private Equity,2000000.0
2449,24-09-2015,Licious,Online Meat Ordering platform,,Bangalore,Kanwaljit Singh TV Mohandas Pai,Seed Funding,1000000.0
2452,28-09-2015,Ola Cabs,Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,30000000.0
2453,29-09-2015,Paytm,E-Commerce & M-Commerce platform,,New Delhi,Alibaba Group Ant Financial,Private Equity,680000000.0
2454,29-09-2015,Inmobi,Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,100000000.0
2455,29-09-2015,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,Sequoia India SAIF Partners.,Private Equity,36000000.0
2458,29-09-2015,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,350000.0
2460,30-09-2015,Infoworks,Big Data Management Platform,,Bangalore/USA,Nexus Venture Partners Knoll Ventures and others,Private Equity,5000000.0
2461,30-09-2015,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,1000000.0
2463,30-09-2015,Eywa Media,Digital Signal processing platform,,Bangalore,ah! Ventures Viktor Koenig PE Fund Mantra Ventures,Seed Funding,1000000.0
2464,01-08-2015,Snapdeal,E-commerce Marketplace,,New Delhi,Alibaba Foxconn Softbank,Private Equity,500000000.0
2465,01-08-2015,Ressy,Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,400000.0
2467,03-08-2015,Connect India,E-commerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,5000000.0
2470,03-08-2015,Oyorooms,Budget Hotel accommodation brand,,New Delhi,SoftBank Group Greenoaks Capital Sequoia Capital Lightspeed India,Private Equity,100000000.0
2472,03-08-2015,Wizrocket,User Engagment & Analytics platform,,Mumbai,Sequoia Capital Accel Partners,Private Equity,9600000.0
2473,04-08-2015,Pickingo,On-Demand Delivery Logistics,,New Delhi,Orios Venture Partners Zishaan Hayath,Private Equity,1300000.0
2474,05-08-2015,Grex,fund raising platform for startups,,Pune,Kunal Bajaj Chandru Badrinarayanan,Seed Funding,650000.0
2475,05-08-2015,LetsTransport,Logistics Tech Platform,,Bangalore,Rebright Partners Ankush Nijhawan Gaurav Bhatnagar Manish Dhingra,Seed Funding,1300000.0
2476,05-08-2015,Zo Rooms,Online budget hotel chain,,New Delhi,Tiger Global Management Orios Venture Partners,Private Equity,30000000.0
2477,05-08-2015,Doormint,Hyperlocal Handyman services,,Mumbai,Helion Venture Partners Kalaari Capital,Private Equity,3000000.0
2478,05-08-2015,NightStay,hotel booking app,,Noida,BedRock Ventures Rajesh Sawhney Shailesh Singh,Seed Funding,500000.0
2480,05-08-2015,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,Ramesh Jogani Shailesh Viswanathan Jay Srinivasan,Seed Funding,785000.0
2482,06-08-2015,Appvigil,App security testing platform,,Mumbai,Ravi Gururaj Gaurav Sharma Viswanath Ramachandran RippleWave,Seed Funding,500000.0
2483,06-08-2015,practo,Doctor Appointment booking app,,Bangalore,Sofina Google Capital Altimeter Capital Sequoia Capital Global Equities Yuri Milner Sequoia Capital Matrix Partners,Private Equity,90000000.0
2486,06-08-2015,Ketto,Crowd funding platform,,Mumbai,Chennai Angels Calcutta Angels ah! Ventures Intellecap Impact Investment Network Indus Age Partners Singapore Angel Network India Internet Fund LetsVenture,Seed Funding,700000.0
2487,06-08-2015,Ezetap,Mobile based PoS solution,,Bangalore,Horizons Ventures Capricorn Investment Group Social+Capital Helion Advisors Berggruen Holdings,Private Equity,25000000.0
2489,07-08-2015,Carls Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,630000.0
2490,07-08-2015,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,Wealth First Ashneer Grover Atul Phadnis,Private Equity,500000.0
2494,10-08-2015,MyTaxiIndia,Taxi Rental platform,,Gurgaon,Nihon Kotsu,Private Equity,500000.0
2495,10-08-2015,eSadar,E-commerce,,New Delhi,Neha Vats Gaurav Vats,Seed Funding,80000.0
2497,10-08-2015,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,250000.0
2498,10-08-2015,NearBuy (previously groupon India),Hyper-Local E-commerce,,New Delhi,Sequoia Capital,Private Equity,16000000.0
2499,10-08-2015,Inkmonk,Online printing marketplace,,Chennai,Girish Mathrubootham Phanindra Sama Vikram Chachra Others from LetsVenture,Seed Funding,250000.0
2500,10-08-2015,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,1000000.0
2501,10-08-2015,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,30000000.0
2502,11-08-2015,Livspace,Home Design & Decor solutions,,Bangalore,Helion Ventures Jungle Ventures & Bessemer Venture Partners,Private Equity,8000000.0
2503,11-08-2015,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,1600000.0
2504,11-08-2015,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,100000.0
2505,11-08-2015,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,20000000.0
2506,11-08-2015,Infogain,Business and IT consulting,,New Delhi/US,ChrysCapital,Private Equity,63000000.0
2507,12-08-2015,OneAssist,Credit Card Fraud protection solutions,,Mumbai,Sequoia Capital Lightspeed Ventures,Private Equity,7500000.0
2508,12-08-2015,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,50000000.0
2509,12-08-2015,Sheroes,Career Community for Women,,Noida,Quintillion Media 500 Startups,Seed Funding,770000.0
2510,12-08-2015,Scripbox,Mutual Fund Investing platform,,Bangalore,Accel Partners Deep Kalra Rajesh Magow Mohit Gupta Shamik Sharma,Private Equity,2500000.0
2511,13-08-2015,etaout,E-commerce Marketing Software Platform,,Noida,Amit Ranjan Vijay Shekhar Sharma Kunal Bahl Girish Mathrubootham & Group of other Angel investors,Seed Funding,500000.0
2512,13-08-2015,IFMR Holdings,Financial Inclusion platform,,Chennai,Accion LeapFrog Investments Lok Capital,Private Equity,25000000.0
2514,13-08-2015,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,4000000.0
2515,14-08-2015,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta & others,Seed Funding,100000.0
2516,14-08-2015,Trukky,Logistics service platform,,Ahmedabad,Gujarat based angel investors MMY co-Founder,Seed Funding,245000.0
2518,17-08-2015,Edu4Share,Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Seed Funding,220000.0
2520,17-08-2015,Sampurnearth,Waste Management Solutions,,Mumbai,Intellecap Impact Investment Network family office fund,Seed Funding,160000.0
2524,17-08-2015,ShadowFax,on-demand delivery service,,Gurgaon,Kunal Bahl Rohit Bansal Zishaan Hayath Prashant Malik,Seed Funding,310000.0
2526,18-08-2015,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,15000000.0
2527,18-08-2015,IntelligenceNODE,Data Analytics Platform,,Mumbai,New Enterprise Associates Orios Venture Partners,Private Equity,4200000.0
2528,18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,NEA Milliways Ventures Naya Ventures,Seed Funding,1000000.0
2531,18-08-2015,Zoojoo.be,Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,1000000.0
2533,19-08-2015,TimeSaverz,Hyperlocal Maintenance Repair & Cleaning services,,Mumbai,Unilazer Ventures,Private Equity,2400000.0
2535,19-08-2015,MebelKart,Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,20000000.0
2536,20-08-2015,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,156000.0
2537,20-08-2015,Flatpebble,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,600000.0
2538,20-08-2015,Bluegape.com,Visual Blogging platform,,New Delhi,ah! Ventures Times Internet Rudy Gopalakrishnan,Seed Funding,600000.0
2539,21-08-2015,ePoise,Job Search Platform,,Bangalore,Orios Venture Partners Amit Ranjan & others,Seed Funding,500000.0
2540,24-08-2015,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,300000.0
2541,24-08-2015,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,400000.0
2544,25-08-2015,Qyk App,On-Demand App based Professional service provider,,Bangalore,GrowX ventures Tracxn Labs Powai Lake Ventures and Sahil Barua,Private Equity,1000000.0
2545,25-08-2015,EazyDiner,Restaurant Reservation Platform,,Gurgaon,DSG Consumer Partners Saama Capital,Private Equity,3000000.0
2546,25-08-2015,RevX,Cross-channel CRM platform,,Mumbai,Norwest Venture Partners Nexus Venture Partners Helion Venture Partners Draper Fisher Jurvetson Peepul Capital,Private Equity,4000000.0
2547,25-08-2015,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,250000.0
2548,26-08-2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,100000.0
2549,26-08-2015,Belita,On-Demand Beauty Service,,Mumbai,India Quotient LetsVenture investors Lead Angels,Seed Funding,400000.0
2551,26-08-2015,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,500000.0
2556,28-08-2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,2000000.0
2557,28-08-2015,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,160000.0
2559,31-08-2015,DropKaffe,Online Coffee Delivery platform,,Bangalore,Manish Singhal P39 Capital & Others,Seed Funding,300000.0
2560,31-08-2015,Reverie,Language Localization Cloud platform,,Bangalore,Aspada Investment Advisors Qualcomm Ventures,Private Equity,4000000.0
2564,01-07-2015,Cloudcherry Analytics,CRM/Analytics platform,,Chennai,The Chennai Angels IDG Ventures India,Seed Funding,1000000.0
2565,01-07-2015,HandyHome,Hyperlocal Electronics repair Service,,Mumbai,Bessemer Ventures Kae Capital,Seed Funding,630000.0
2568,01-07-2015,NxtGen,IT infrastructure & Data Center services,,Bangalore,IFC Axon Partners Intel Capital,Private Equity,13500000.0
2569,02-07-2015,BankBazaar,Online Financial Services,,Chennai,Amazon Fidelity Growth Partners Mousse Partners,Private Equity,60000000.0
2570,02-07-2015,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,5000000.0
2571,02-07-2015,Zenatix,Internet of Things platform,,Gurgaon,Rajan Anandan Kunal Bahl Rohit Bansal Rahul Khanna,Seed Funding,161000.0
2572,03-07-2015,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,6500000.0
2574,03-07-2015,Gingercrush,Custom Merchandize platform,,Ahmedabad,Gokul Jaykrishna Brand Capital,Seed Funding,1000000.0
2576,04-07-2015,Stitchwood,Custom Furniture Marketplace,,Mumbai,Powai Lake Ventures Ajeet Khurana & others,Seed Funding,395000.0
2579,06-07-2015,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,Sofina Hillhouse Capital,Private Equity,30000000.0
2581,07-07-2015,Wudstay,Budget Accommodation aggregator,,Gurgaon,Mangroves Capital Partners Vikas Saxena,Private Equity,3000000.0
2582,07-07-2015,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,5000000.0
2586,08-07-2015,Saavn,Music Streaming App,,Mumbai,Tiger Global Management Bertelsmann India Steadview Capital Liberty Media Mousse Partners Quilvest,Private Equity,100000000.0
2587,08-07-2015,Flytxt,Big Data & Analytics platform,,Mumbai/Global,Sunrise Capital GmBH Big Data Investments B.V,Private Equity,11000000.0
2588,08-07-2015,Axtria,Big Data & Analytics platform,,India/US,Helion Venture PartnersAmarpreet Sawhney Deshpande Foundation Fred Khosravi Richard S. Braddock,Private Equity,30000000.0
2589,08-07-2015,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,20000.0
2591,08-07-2015,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,470000.0
2592,08-07-2015,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,7500000.0
2593,08-07-2015,Lendingkart,Online Finance lending platform,,Ahmedabad,Saama Capital Mayfield Ashvin Chadha Shailesh Mehta,Private Equity,10000000.0
2594,08-07-2015,Lybrate,Healthcare Mobile App,,New Delhi,Tiger Global Management Ratan Tata Nexus Venture Partners,Private Equity,10200000.0
2595,08-07-2015,Zoomcar,Self-driven vehicle rental,,Bangalore,Sequoia Capital Empire Angels NGP,Private Equity,11000000.0
2596,09-07-2015,News in shorts,News Aggregator mobile app,,Noida,Tiger Global,Private Equity,20000000.0
2597,09-07-2015,Bluestone,Online Jewellery Store,,Bangalore,IvyCap Ventures Accel Partners Dragoneer Investment Group,Private Equity,16200000.0
2600,10-07-2015,Infinity Assurance,Warranty Programs Service Administration,,New Delhi,Indian Angel Network,Seed Funding,600000.0
2601,10-07-2015,Footprints Education,Pre-School Chain,,Gurgaon,LetsVenture Kumar Bansal Kshitij Jain,Seed Funding,685000.0
2602,10-07-2015,Loylty Rewards,Premium Loyalty Rewards Point Management,,Mumbai,IndianIdeas.com,Private Equity,19350000.0
2603,13-07-2015,Ameyo,Contact Center Software Platform,,Gurgaon,Forum Synergies PE Fund,Private Equity,5000000.0
2604,13-07-2015,Mamagoto,Casual Dining restaurant Chain,,New Delhi,Goldman Sachs,Private Equity,10000000.0
2606,14-07-2015,MySmartPrice,Online comparison engine,,Hyderabad,Accel Partners Helion Venture Partners,Private Equity,10000000.0
2608,14-07-2015,Boxmyspace,Physical Storage warehouses,,Mumbai,Ritesh Veera Singapore Angel Network Orios Venture Partners,Seed Funding,300000.0
2609,14-07-2015,HackerRank,Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,7500000.0
2610,14-07-2015,WickedRide,Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,790000.0
2611,14-07-2015,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,500000.0
2612,15-07-2015,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,Softbank Sequoia Capital,Private Equity,100000000.0
2613,15-07-2015,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,2300000.0
2615,15-07-2015,Roadrunnr,Hyper local logistics platform,,Bangalore,Sequoia Capital Nexus Venture Partners Blume Ventures,Private Equity,11000000.0
2616,16-07-2015,Ketto,Crowd Funding Platform,,Mumbai,Pradyumna Dalmia Sudhir Rao & Others,Seed Funding,700000.0
2617,17-07-2015,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,1600000.0
2618,17-07-2015,Omnikart,Industrial Supplies B2B E-commerce,,Mumbai,Sumit Gandhi Manish Gandhi,Seed Funding,100000.0
2619,20-07-2015,Zo Rooms,Online budget hotel chain,,New Delhi,Tiger Global Orios Venture Partners.,Private Equity,15000000.0
2620,20-07-2015,Innoviti,Payment Solutions platform,,Bangalore,Catamaran Ventures New India Investment Corporation,Private Equity,4850000.0
2622,21-07-2015,Joy by nature,Organic Food E-commerce,,New Delhi,Mumbai Angels Vriddhi Fund Others,Private Equity,1000000.0
2623,22-07-2015,Iqlect,Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,2000000.0
2624,22-07-2015,deGustibus,Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,30000000.0
2625,23-07-2015,Nestaway,Luxury Rental Homes,,Bangalore,Flipkart Tiger Global,Private Equity,12750000.0
2626,23-07-2015,Mswipe,Mobile Point of Sale payment solution,,,Falcon Edge Capital Meru Capital Ola Matrix Partners DSG Consumer Partners Axis Bank,Private Equity,25000000.0
2627,23-07-2015,Myonsto,Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,320000.0
2629,23-07-2015,MedGenome,Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,20000000.0
2630,23-07-2015,HolidayIQ,Travel information portal,,Bangalore,MakeMyTrip,Private Equity,15000000.0
2631,23-07-2015,Fitternity,Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,1000000.0
2632,23-07-2015,Quikr,Online & Mobile classified listings,,Mumbai,AB Kinnevik Falcon Edge Capital Coatue Management,Private Equity,60000000.0
2634,24-07-2015,BroEx,Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,1000000.0
2636,25-07-2015,CredR,Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,15000000.0
2637,27-07-2015,ManageMySpa,Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,6000000.0
2641,28-07-2015,Pepperfry,Online home decor marketplace,,Mumbai,Goldman Sachs Zodius Technology Fund Bertelsmann India Investments Norwest Venture Partners.,Private Equity,100000000.0
2642,28-07-2015,Flipkart.com,Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,700000000.0
2643,28-07-2015,Opinio,Hyperlocal food & grocery store,,Bangalore,Accel Partners Traxcn Labs & Others,Seed Funding,1300000.0
2644,28-07-2015,Zoctr,Health-Tech platform,,Mumbai,Sandeep Parwal Krishan Gupta & Others,Seed Funding,1000000.0
2645,29-07-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,IDG Ventures India Omidyar Network Sherpalo Ventures Mohandas Pai,Private Equity,2000000.0
2646,29-07-2015,trueHb,Medical Tech Instruments,,New Delhi,Sachin and Binny Bansal Malvinder and Shivinder Singh Gurpreet Singh & others,Seed Funding,2400000.0
2647,29-07-2015,Zovi.com/Little App,Hyperlocal Deals Marketplace,,Bangalore,Paytm SAIF Partners Tiger Global Management & others,Private Equity,50000000.0
2648,29-07-2015,Swajal,Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,1200000.0
2649,30-07-2015,Pipa Bella,Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,600000.0
2650,30-07-2015,Pragmatix,Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,2400000.0
2651,30-07-2015,Droom.in,Used Vehicle Marketplace,,New Delhi,Lightbox Ventures Beenos,Private Equity,16000000.0
2652,30-07-2015,MadRat Games,Educational Board Games,,Bangalore,Kunal Bahl Rohit Bansal,Seed Funding,168000.0
2653,30-07-2015,Noodle Play,Chinese food delivery,,Mumbai,Elliot Stechman Gautam Sinha Ambarish Ray,Seed Funding,168000.0
2656,31-07-2015,LazyLad,Hyperlocal Grocery App,,Gurgaon,Jai Choi Kiyohiro Sugashita Hirokazu,Private Equity,500000.0
2658,31-07-2015,Prothom,Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,2000000.0
2659,31-07-2015,Bona Vita,Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,5000000.0
2661,01-06-2015,Veeba Foods,Healthy Food Manufacturer,,New Delhi,DSG Consumer Partners Saama Capital.,Private Equity,6000000.0
2662,01-06-2015,Truebil,Used Car Marketplace,,Mumbai,Kae Capital Anupam Mittal,Seed Funding,500000.0
2663,01-06-2015,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,4000000.0
2664,01-06-2015,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,350000.0
2666,01-06-2015,Glamrs,Online Fashion Video Portal,,Mumbai,Ventureworks India Blume Ventures Batlivala & Karani Securities Nikunj Jhaveri,Private Equity,1000000.0
2667,01-06-2015,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,550000.0
2668,01-06-2015,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,500000.0
2669,02-06-2015,Saama,Big Data & Analytics Services,,Pune/US,Carrick Capital Partners,Private Equity,35000000.0
2670,02-06-2015,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000.0
2673,03-06-2015,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,3000000.0
2674,03-06-2015,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,100000.0
2675,03-06-2015,Arkin Net,Data Center Software platform,,Pune/US,Nexus Venture Partners,Private Equity,15000000.0
2676,03-06-2015,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,Rajan Anandan Niraj Singh Sachin Bhatia Singapore Angel Network & Aseem Vadehra,Seed Funding,150000.0
2678,03-06-2015,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,Virendra Shahney Dr Paresh Doshi,Seed Funding,250000.0
2680,04-06-2015,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,137000000.0
2681,04-06-2015,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,1000000.0
2682,04-06-2015,Zopper,Hyperlocal Shopping App,,Mumbai,Tiger Global Nirvana Ventures Advisors,Private Equity,20000000.0
2683,04-06-2015,Flipkart,E-commerce platform,,Bangalore,Morgan Stanley,Private Equity,50000000.0
2684,05-06-2015,kWatt Solutions,Renewable energy solutions,,Mumbai,,Seed Funding,500000.0
2685,05-06-2015,Medwell Ventures,Healthcare Service provider,,Bangalore,Fidelity Growth Partners Fidelity Biosciences,Private Equity,10000000.0
2686,05-06-2015,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,Snow Leopard Paytm,Private Equity,5000000.0
2688,08-06-2015,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,Future FundBessemer Venture Capricorn Investment and IFC,Private Equity,40000000.0
2689,09-06-2015,Clovia,Private Label lingerie E-commerce,,New Delhi,IvyCap Ventures,Private Equity,5000000.0
2690,09-06-2015,Swiggy,Online Food Ordering,,Bangalore,Norwest Venture Partners SAIF Partners Accel Partners,Private Equity,16500000.0
2691,09-06-2015,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,234000.0
2693,09-06-2015,Teritree,Digital Marketing Services,,Bangalore,KCL,Seed Funding,140000.0
2695,10-06-2015,Voonik,Fashion E-commerce store,,Bangalore,Sequoia Capital Seedfund,Private Equity,5000000.0
2696,11-06-2015,AdStringO,Mobile Compression Software,,Mumbai,Arihant Patni Vishal Khare Viswanath Ramachandran,Seed Funding,350000.0
2697,11-06-2015,Faircent.com,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,250000.0
2698,12-06-2015,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,16000000.0
2699,15-06-2015,Homelane,Home Furnishing Solutions,,Bangalore,Sequoia Capital,Private Equity,50000000.0
2701,15-06-2015,Shippr,Intra-City Logistics service,,Bangalore,i2india Pvt Ltd,Seed Funding,500000.0
2704,16-06-2015,CouponRaja,Online Coupon & comparison platform,,Mumbai,Mahesh Pratapneni Pallab Chatterjee & others,Seed Funding,500000.0
2707,17-06-2015,MyDentist,Dental Clinic chain,,Mumbai,LGT Group Asian Healthcare fund Seedfund,Private Equity,8200000.0
2709,18-06-2015,Fracktal Works,3D Printer Manufacturer,,Bangalore,Neoteric Infomatique Limited,Private Equity,3000000.0
2710,18-06-2015,Hansa Customer Equity,IT/Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,5000000.0
2713,19-06-2015,Housejoy,Home services marketplace,,Bangalore,Matrix Partners,Private Equity,4000000.0
2714,19-06-2015,FundsIndia.com,Financial Services Platform,,Chennai,Faering Capital Foundation Capital Inventus Capital Partners,Private Equity,11000000.0
2715,20-06-2015,Cupick,Social Network for Artists,,Bangalore,Group of Angel Investors from US/India,Seed Funding,120000.0
2716,20-06-2015,Tracxn,Startup funding platform,,Bangalore,Sachin Bansal Bunny Bansal & other investors,Private Equity,10000000.0
2717,21-06-2015,Holachef,Food Delivery Platform,,Mumbai,Kalaari Capital India Quotient,Private Equity,3100000.0
2718,22-06-2015,elong,Data Driven recruitment recommendation,,Bangalore,Kunal Bahl Rohit Bansal Blume Ventures Phanindra Sama Raju Reddy,Private Equity,5000000.0
2721,22-06-2015,Vidgyor,Video Advertisement Platform,,Bangalore,AngelPrime,Seed Funding,500000.0
2723,23-06-2015,Goodservice,Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,1600000.0
2724,23-06-2015,Treebo,Online Budget Hotel Booking Service,,Bangalore,Matrix Partners India SAIF Partners,Private Equity,6000000.0
2725,23-06-2015,EduKart,Online education marketplace,,New Delhi,Holostik Group YouWeCan Ventures 500 Startups Vijay Shekhar Sharma Manish Kheterpal Amit Patni,Private Equity,1000000.0
2730,24-06-2015,Indix,SaaS product intelligence platform,,,Nokia Growth Partners Nexus Venture Partners Avalon Ventures,Private Equity,15000000.0
2731,24-06-2015,The Porter,Logistics Tech,,Mumbai,Sequoia Capital Kae Capital Anupam Mittal Sandeep Tandon,Private Equity,5500000.0
2732,24-06-2015,Retention.ai,App Analytics platform,,Bangalore,Mercury Fund Anshu Sharma Pratyush Prasanna Robert Winters & others,Seed Funding,500000.0
2733,25-06-2015,Fusion Microfinance,Micro Finance Platform,,New Delhi,Development finance institution Belgian Investment Company Oikocredit,Private Equity,8600000.0
2734,25-06-2015,Zinka,Freight logistics platform,,Bangalore,Accel Partners Flipkart,Private Equity,6000000.0
2735,26-06-2015,CreditMantri,Credit Management Services,,Chennai,IDG Ventures India Elevar Equity Accion Venture Lab,Private Equity,2500000.0
2736,26-06-2015,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,250000.0
2737,29-06-2015,UrbanClap,Hyperlocal services marketplace,,New Delhi,SAIF Partners Accel Partners,Private Equity,10000000.0
2739,29-06-2015,AdWyze,Marketing/Advertising Automation platform,,Bangalore,Mape Advisory,Seed Funding,1000000.0
2740,29-06-2015,Zimmber,Hyperlocal Handyman Services,,Mumbai,Naveen Tiwari Mohit Saxena Amit Gupta Piyush Shah Manish Dugar,Seed Funding,400000.0
